Number A,Operation,Number B,Solution
8.0,1.0,15.0,23.0
20.0,1.0,20.0,40.0
20.0,4.0,18.0,1.1111111111111112
18.0,2.0,12.0,6.0
4.0,3.0,7.0,28.0
13.0,3.0,15.0,195.0
17.0,2.0,14.0,3.0
20.0,4.0,15.0,1.3333333333333333
18.0,1.0,11.0,29.0
17.0,4.0,7.0,2.4285714285714284
11.0,4.0,4.0,2.75
12.0,1.0,14.0,26.0
2.0,1.0,8.0,10.0
5.0,3.0,20.0,100.0
10.0,4.0,8.0,1.25
4.0,1.0,20.0,24.0
11.0,3.0,15.0,165.0
18.0,3.0,8.0,144.0
13.0,3.0,6.0,78.0
18.0,2.0,13.0,5.0
10.0,1.0,19.0,29.0
6.0,4.0,15.0,0.4
13.0,4.0,7.0,1.8571428571428572
10.0,3.0,1.0,10.0
1.0,1.0,2.0,3.0
2.0,3.0,18.0,36.0
18.0,2.0,16.0,2.0
19.0,3.0,2.0,38.0
3.0,3.0,9.0,27.0
10.0,3.0,6.0,60.0
4.0,4.0,14.0,0.2857142857142857
11.0,3.0,18.0,198.0
5.0,2.0,12.0,-7.0
17.0,2.0,4.0,13.0
17.0,3.0,16.0,272.0
2.0,3.0,8.0,16.0
1.0,4.0,6.0,0.16666666666666666
5.0,3.0,15.0,75.0
17.0,1.0,5.0,22.0
3.0,4.0,2.0,1.5
18.0,2.0,6.0,12.0
4.0,4.0,3.0,1.3333333333333333
2.0,3.0,14.0,28.0
12.0,2.0,19.0,-7.0
7.0,2.0,1.0,6.0
15.0,3.0,7.0,105.0
2.0,4.0,7.0,0.2857142857142857
5.0,4.0,16.0,0.3125
8.0,1.0,7.0,15.0
7.0,2.0,2.0,5.0
19.0,2.0,4.0,15.0
16.0,4.0,1.0,16.0
11.0,1.0,16.0,27.0
15.0,2.0,13.0,2.0
5.0,1.0,17.0,22.0
11.0,1.0,20.0,31.0
8.0,4.0,6.0,1.3333333333333333
10.0,2.0,17.0,-7.0
11.0,2.0,16.0,-5.0
10.0,3.0,14.0,140.0
9.0,1.0,15.0,24.0
1.0,1.0,14.0,15.0
20.0,1.0,18.0,38.0
17.0,1.0,3.0,20.0
15.0,2.0,7.0,8.0
5.0,1.0,8.0,13.0
12.0,2.0,15.0,-3.0
19.0,4.0,18.0,1.0555555555555556
16.0,2.0,2.0,14.0
18.0,1.0,14.0,32.0
11.0,4.0,8.0,1.375
10.0,2.0,7.0,3.0
15.0,1.0,10.0,25.0
6.0,2.0,20.0,-14.0
2.0,1.0,5.0,7.0
11.0,1.0,5.0,16.0
14.0,1.0,18.0,32.0
10.0,3.0,3.0,30.0
18.0,1.0,11.0,29.0
20.0,1.0,20.0,40.0
20.0,3.0,16.0,320.0
20.0,4.0,18.0,1.1111111111111112
9.0,1.0,12.0,21.0
19.0,2.0,13.0,6.0
4.0,1.0,6.0,10.0
11.0,2.0,13.0,-2.0
12.0,3.0,10.0,120.0
13.0,1.0,3.0,16.0
11.0,2.0,18.0,-7.0
13.0,2.0,2.0,11.0
4.0,4.0,4.0,1.0
13.0,2.0,14.0,-1.0
14.0,3.0,11.0,154.0
12.0,1.0,16.0,28.0
1.0,2.0,19.0,-18.0
20.0,4.0,17.0,1.1764705882352942
9.0,2.0,10.0,-1.0
1.0,1.0,12.0,13.0
2.0,4.0,9.0,0.2222222222222222
2.0,2.0,9.0,-7.0
9.0,3.0,1.0,9.0
4.0,4.0,12.0,0.3333333333333333
11.0,2.0,5.0,6.0
15.0,2.0,15.0,0.0
18.0,4.0,11.0,1.6363636363636365
12.0,1.0,14.0,26.0
7.0,2.0,18.0,-11.0
18.0,2.0,19.0,-1.0
3.0,3.0,16.0,48.0
16.0,4.0,16.0,1.0
12.0,4.0,13.0,0.9230769230769231
7.0,1.0,11.0,18.0
14.0,1.0,4.0,18.0
9.0,2.0,1.0,8.0
6.0,1.0,14.0,20.0
14.0,1.0,3.0,17.0
16.0,4.0,9.0,1.7777777777777777
12.0,3.0,4.0,48.0
9.0,2.0,11.0,-2.0
13.0,4.0,2.0,6.5
9.0,4.0,6.0,1.5
1.0,1.0,13.0,14.0
11.0,1.0,19.0,30.0
8.0,1.0,13.0,21.0
8.0,1.0,5.0,13.0
18.0,1.0,4.0,22.0
15.0,4.0,5.0,3.0
17.0,2.0,3.0,14.0
6.0,4.0,14.0,0.42857142857142855
8.0,2.0,2.0,6.0
19.0,1.0,19.0,38.0
5.0,4.0,6.0,0.8333333333333334
20.0,1.0,1.0,21.0
5.0,4.0,9.0,0.5555555555555556
9.0,2.0,19.0,-10.0
8.0,2.0,15.0,-7.0
13.0,2.0,7.0,6.0
13.0,4.0,9.0,1.4444444444444444
6.0,1.0,13.0,19.0
13.0,2.0,17.0,-4.0
14.0,2.0,10.0,4.0
16.0,1.0,16.0,32.0
12.0,3.0,20.0,240.0
15.0,1.0,11.0,26.0
9.0,2.0,7.0,2.0
2.0,1.0,11.0,13.0
11.0,1.0,8.0,19.0
19.0,4.0,17.0,1.1176470588235294
13.0,2.0,8.0,5.0
19.0,2.0,18.0,1.0
19.0,1.0,10.0,29.0
3.0,3.0,15.0,45.0
5.0,2.0,13.0,-8.0
15.0,2.0,3.0,12.0
4.0,4.0,8.0,0.5
19.0,3.0,1.0,19.0
3.0,2.0,17.0,-14.0
3.0,1.0,4.0,7.0
13.0,4.0,1.0,13.0
3.0,1.0,8.0,11.0
9.0,3.0,2.0,18.0
2.0,4.0,12.0,0.16666666666666666
16.0,3.0,17.0,272.0
1.0,4.0,1.0,1.0
4.0,2.0,3.0,1.0
14.0,1.0,10.0,24.0
6.0,4.0,19.0,0.3157894736842105
20.0,1.0,18.0,38.0
17.0,4.0,6.0,2.8333333333333335
5.0,3.0,5.0,25.0
2.0,4.0,8.0,0.25
8.0,1.0,14.0,22.0
10.0,3.0,13.0,130.0
4.0,2.0,6.0,-2.0
11.0,2.0,8.0,3.0
9.0,2.0,16.0,-7.0
13.0,2.0,12.0,1.0
6.0,4.0,11.0,0.5454545454545454
11.0,2.0,13.0,-2.0
19.0,3.0,5.0,95.0
5.0,1.0,11.0,16.0
5.0,2.0,2.0,3.0
18.0,3.0,9.0,162.0
4.0,3.0,4.0,16.0
13.0,1.0,2.0,15.0
12.0,1.0,11.0,23.0
7.0,2.0,7.0,0.0
20.0,4.0,20.0,1.0
10.0,4.0,1.0,10.0
3.0,3.0,17.0,51.0
17.0,1.0,1.0,18.0
20.0,3.0,6.0,120.0
8.0,1.0,13.0,21.0
12.0,1.0,19.0,31.0
10.0,4.0,8.0,1.25
4.0,1.0,4.0,8.0
20.0,4.0,10.0,2.0
6.0,4.0,17.0,0.35294117647058826
14.0,2.0,6.0,8.0
5.0,1.0,12.0,17.0
11.0,3.0,18.0,198.0
1.0,3.0,3.0,3.0
5.0,2.0,10.0,-5.0
18.0,2.0,13.0,5.0
1.0,1.0,6.0,7.0
2.0,1.0,18.0,20.0
13.0,3.0,11.0,143.0
6.0,4.0,20.0,0.3
6.0,1.0,6.0,12.0
6.0,2.0,19.0,-13.0
9.0,4.0,12.0,0.75
1.0,1.0,13.0,14.0
15.0,2.0,4.0,11.0
11.0,1.0,8.0,19.0
7.0,3.0,20.0,140.0
3.0,4.0,9.0,0.3333333333333333
10.0,3.0,9.0,90.0
12.0,2.0,14.0,-2.0
19.0,2.0,10.0,9.0
8.0,3.0,15.0,120.0
2.0,4.0,11.0,0.18181818181818182
20.0,2.0,3.0,17.0
3.0,1.0,13.0,16.0
10.0,4.0,9.0,1.1111111111111112
20.0,3.0,17.0,340.0
13.0,4.0,18.0,0.7222222222222222
20.0,1.0,18.0,38.0
2.0,2.0,19.0,-17.0
6.0,1.0,11.0,17.0
2.0,2.0,13.0,-11.0
10.0,2.0,5.0,5.0
15.0,1.0,7.0,22.0
10.0,1.0,4.0,14.0
4.0,4.0,2.0,2.0
20.0,3.0,10.0,200.0
2.0,3.0,8.0,16.0
17.0,1.0,4.0,21.0
20.0,4.0,12.0,1.6666666666666667
16.0,4.0,16.0,1.0
4.0,4.0,11.0,0.36363636363636365
9.0,3.0,4.0,36.0
4.0,3.0,2.0,8.0
12.0,1.0,12.0,24.0
20.0,3.0,5.0,100.0
17.0,2.0,9.0,8.0
7.0,4.0,8.0,0.875
8.0,4.0,13.0,0.6153846153846154
11.0,2.0,19.0,-8.0
7.0,3.0,9.0,63.0
13.0,1.0,14.0,27.0
11.0,3.0,3.0,33.0
4.0,4.0,19.0,0.21052631578947367
14.0,2.0,3.0,11.0
18.0,4.0,10.0,1.8
10.0,3.0,1.0,10.0
3.0,2.0,5.0,-2.0
10.0,3.0,18.0,180.0
1.0,1.0,5.0,6.0
1.0,2.0,7.0,-6.0
17.0,3.0,8.0,136.0
6.0,3.0,10.0,60.0
7.0,3.0,5.0,35.0
12.0,1.0,6.0,18.0
8.0,3.0,18.0,144.0
3.0,4.0,14.0,0.21428571428571427
8.0,1.0,9.0,17.0
7.0,1.0,8.0,15.0
20.0,3.0,16.0,320.0
6.0,1.0,14.0,20.0
2.0,4.0,17.0,0.11764705882352941
17.0,4.0,13.0,1.3076923076923077
7.0,3.0,12.0,84.0
12.0,4.0,5.0,2.4
3.0,3.0,12.0,36.0
13.0,1.0,3.0,16.0
4.0,1.0,17.0,21.0
14.0,3.0,14.0,196.0
8.0,3.0,15.0,120.0
11.0,3.0,8.0,88.0
2.0,4.0,3.0,0.6666666666666666
5.0,3.0,2.0,10.0
17.0,2.0,20.0,-3.0
14.0,1.0,7.0,21.0
20.0,1.0,17.0,37.0
9.0,4.0,2.0,4.5
9.0,4.0,2.0,4.5
16.0,1.0,8.0,24.0
14.0,2.0,19.0,-5.0
7.0,1.0,7.0,14.0
14.0,2.0,8.0,6.0
13.0,4.0,5.0,2.6
2.0,4.0,7.0,0.2857142857142857
14.0,1.0,10.0,24.0
16.0,4.0,3.0,5.333333333333333
13.0,2.0,17.0,-4.0
2.0,2.0,7.0,-5.0
13.0,3.0,7.0,91.0
19.0,1.0,7.0,26.0
2.0,3.0,18.0,36.0
10.0,3.0,20.0,200.0
7.0,4.0,7.0,1.0
1.0,3.0,15.0,15.0
14.0,1.0,12.0,26.0
3.0,4.0,7.0,0.42857142857142855
5.0,3.0,17.0,85.0
4.0,3.0,3.0,12.0
8.0,2.0,2.0,6.0
18.0,3.0,20.0,360.0
9.0,3.0,8.0,72.0
9.0,3.0,13.0,117.0
3.0,3.0,20.0,60.0
5.0,2.0,5.0,0.0
10.0,1.0,5.0,15.0
13.0,1.0,12.0,25.0
2.0,2.0,10.0,-8.0
13.0,2.0,17.0,-4.0
16.0,1.0,18.0,34.0
5.0,3.0,19.0,95.0
19.0,4.0,16.0,1.1875
20.0,3.0,20.0,400.0
6.0,4.0,13.0,0.46153846153846156
3.0,1.0,4.0,7.0
4.0,3.0,16.0,64.0
4.0,3.0,10.0,40.0
17.0,2.0,12.0,5.0
5.0,1.0,14.0,19.0
5.0,3.0,11.0,55.0
4.0,1.0,10.0,14.0
4.0,4.0,2.0,2.0
16.0,2.0,14.0,2.0
1.0,3.0,10.0,10.0
13.0,4.0,20.0,0.65
14.0,3.0,15.0,210.0
7.0,4.0,10.0,0.7
1.0,3.0,9.0,9.0
16.0,4.0,20.0,0.8
5.0,4.0,17.0,0.29411764705882354
9.0,3.0,11.0,99.0
4.0,4.0,17.0,0.23529411764705882
16.0,3.0,15.0,240.0
6.0,1.0,6.0,12.0
5.0,4.0,15.0,0.3333333333333333
17.0,4.0,18.0,0.9444444444444444
19.0,1.0,3.0,22.0
3.0,2.0,10.0,-7.0
11.0,1.0,2.0,13.0
10.0,4.0,1.0,10.0
9.0,4.0,3.0,3.0
17.0,3.0,1.0,17.0
8.0,4.0,19.0,0.42105263157894735
19.0,1.0,8.0,27.0
18.0,4.0,10.0,1.8
6.0,1.0,17.0,23.0
20.0,2.0,16.0,4.0
4.0,3.0,1.0,4.0
19.0,1.0,13.0,32.0
20.0,1.0,12.0,32.0
19.0,2.0,8.0,11.0
14.0,2.0,5.0,9.0
10.0,2.0,2.0,8.0
9.0,2.0,7.0,2.0
7.0,1.0,4.0,11.0
11.0,4.0,4.0,2.75
5.0,1.0,4.0,9.0
15.0,4.0,6.0,2.5
13.0,2.0,18.0,-5.0
2.0,2.0,5.0,-3.0
3.0,4.0,19.0,0.15789473684210525
9.0,1.0,18.0,27.0
7.0,2.0,15.0,-8.0
12.0,4.0,6.0,2.0
12.0,4.0,20.0,0.6
6.0,1.0,16.0,22.0
14.0,4.0,4.0,3.5
3.0,2.0,18.0,-15.0
3.0,1.0,13.0,16.0
15.0,2.0,7.0,8.0
7.0,2.0,2.0,5.0
19.0,1.0,1.0,20.0
15.0,2.0,9.0,6.0
18.0,4.0,11.0,1.6363636363636365
18.0,4.0,8.0,2.25
6.0,1.0,5.0,11.0
12.0,1.0,5.0,17.0
19.0,1.0,6.0,25.0
16.0,2.0,8.0,8.0
9.0,1.0,19.0,28.0
12.0,2.0,14.0,-2.0
2.0,2.0,18.0,-16.0
6.0,4.0,10.0,0.6
7.0,3.0,12.0,84.0
20.0,4.0,4.0,5.0
6.0,3.0,16.0,96.0
7.0,3.0,3.0,21.0
11.0,4.0,12.0,0.9166666666666666
15.0,1.0,6.0,21.0
20.0,1.0,5.0,25.0
14.0,1.0,11.0,25.0
3.0,4.0,1.0,3.0
12.0,1.0,12.0,24.0
5.0,3.0,12.0,60.0
9.0,3.0,14.0,126.0
6.0,2.0,20.0,-14.0
11.0,2.0,20.0,-9.0
2.0,3.0,13.0,26.0
15.0,2.0,14.0,1.0
17.0,2.0,5.0,12.0
20.0,2.0,18.0,2.0
7.0,3.0,8.0,56.0
8.0,3.0,16.0,128.0
12.0,3.0,20.0,240.0
17.0,2.0,3.0,14.0
20.0,2.0,4.0,16.0
1.0,1.0,9.0,10.0
3.0,1.0,16.0,19.0
20.0,3.0,18.0,360.0
11.0,3.0,10.0,110.0
11.0,4.0,7.0,1.5714285714285714
1.0,1.0,10.0,11.0
16.0,1.0,20.0,36.0
16.0,4.0,3.0,5.333333333333333
9.0,4.0,2.0,4.5
1.0,3.0,11.0,11.0
1.0,2.0,7.0,-6.0
4.0,3.0,5.0,20.0
1.0,2.0,6.0,-5.0
9.0,3.0,4.0,36.0
14.0,1.0,20.0,34.0
6.0,4.0,11.0,0.5454545454545454
4.0,2.0,20.0,-16.0
16.0,1.0,9.0,25.0
1.0,4.0,1.0,1.0
8.0,4.0,18.0,0.4444444444444444
18.0,1.0,19.0,37.0
7.0,2.0,19.0,-12.0
17.0,2.0,3.0,14.0
12.0,3.0,12.0,144.0
8.0,1.0,9.0,17.0
16.0,3.0,17.0,272.0
19.0,4.0,8.0,2.375
5.0,3.0,12.0,60.0
1.0,2.0,13.0,-12.0
10.0,4.0,18.0,0.5555555555555556
4.0,2.0,6.0,-2.0
1.0,3.0,13.0,13.0
7.0,1.0,14.0,21.0
12.0,2.0,2.0,10.0
8.0,4.0,11.0,0.7272727272727273
13.0,3.0,12.0,156.0
3.0,4.0,19.0,0.15789473684210525
6.0,1.0,16.0,22.0
7.0,3.0,14.0,98.0
9.0,1.0,11.0,20.0
4.0,3.0,18.0,72.0
1.0,3.0,15.0,15.0
12.0,4.0,11.0,1.0909090909090908
4.0,2.0,17.0,-13.0
15.0,2.0,18.0,-3.0
14.0,2.0,9.0,5.0
2.0,1.0,15.0,17.0
19.0,1.0,7.0,26.0
8.0,3.0,17.0,136.0
10.0,2.0,9.0,1.0
6.0,2.0,3.0,3.0
13.0,1.0,20.0,33.0
17.0,1.0,4.0,21.0
3.0,1.0,6.0,9.0
5.0,2.0,10.0,-5.0
15.0,4.0,14.0,1.0714285714285714
6.0,4.0,8.0,0.75
15.0,4.0,20.0,0.75
4.0,1.0,3.0,7.0
6.0,4.0,6.0,1.0
9.0,3.0,15.0,135.0
3.0,3.0,20.0,60.0
12.0,3.0,3.0,36.0
10.0,2.0,14.0,-4.0
16.0,3.0,3.0,48.0
7.0,4.0,14.0,0.5
7.0,3.0,12.0,84.0
3.0,3.0,1.0,3.0
3.0,4.0,6.0,0.5
14.0,4.0,20.0,0.7
3.0,4.0,7.0,0.42857142857142855
19.0,4.0,8.0,2.375
8.0,1.0,7.0,15.0
14.0,3.0,10.0,140.0
10.0,3.0,13.0,130.0
1.0,1.0,20.0,21.0
7.0,3.0,18.0,126.0
13.0,4.0,19.0,0.6842105263157895
18.0,3.0,11.0,198.0
2.0,2.0,16.0,-14.0
14.0,3.0,10.0,140.0
18.0,2.0,2.0,16.0
18.0,4.0,5.0,3.6
2.0,3.0,12.0,24.0
16.0,4.0,5.0,3.2
19.0,4.0,17.0,1.1176470588235294
14.0,2.0,19.0,-5.0
18.0,1.0,2.0,20.0
3.0,2.0,5.0,-2.0
3.0,4.0,3.0,1.0
5.0,4.0,19.0,0.2631578947368421
14.0,3.0,8.0,112.0
3.0,2.0,14.0,-11.0
4.0,4.0,3.0,1.3333333333333333
10.0,3.0,14.0,140.0
17.0,4.0,9.0,1.8888888888888888
18.0,3.0,10.0,180.0
9.0,4.0,13.0,0.6923076923076923
14.0,3.0,12.0,168.0
8.0,1.0,11.0,19.0
19.0,4.0,15.0,1.2666666666666666
15.0,1.0,11.0,26.0
10.0,3.0,18.0,180.0
19.0,2.0,7.0,12.0
20.0,1.0,20.0,40.0
14.0,1.0,3.0,17.0
12.0,2.0,19.0,-7.0
4.0,2.0,2.0,2.0
11.0,2.0,2.0,9.0
17.0,1.0,7.0,24.0
10.0,3.0,3.0,30.0
14.0,2.0,20.0,-6.0
16.0,2.0,20.0,-4.0
16.0,2.0,4.0,12.0
20.0,2.0,20.0,0.0
17.0,1.0,5.0,22.0
19.0,3.0,5.0,95.0
13.0,4.0,3.0,4.333333333333333
5.0,2.0,2.0,3.0
4.0,4.0,1.0,4.0
16.0,1.0,11.0,27.0
13.0,3.0,1.0,13.0
9.0,4.0,8.0,1.125
14.0,2.0,1.0,13.0
18.0,1.0,1.0,19.0
19.0,3.0,19.0,361.0
2.0,2.0,10.0,-8.0
11.0,3.0,5.0,55.0
11.0,1.0,3.0,14.0
14.0,2.0,16.0,-2.0
10.0,3.0,11.0,110.0
4.0,3.0,15.0,60.0
7.0,1.0,14.0,21.0
11.0,2.0,15.0,-4.0
20.0,3.0,8.0,160.0
12.0,2.0,5.0,7.0
3.0,4.0,1.0,3.0
11.0,4.0,15.0,0.7333333333333333
3.0,4.0,13.0,0.23076923076923078
19.0,3.0,8.0,152.0
3.0,1.0,20.0,23.0
3.0,4.0,5.0,0.6
8.0,3.0,13.0,104.0
15.0,2.0,5.0,10.0
20.0,1.0,11.0,31.0
7.0,3.0,10.0,70.0
19.0,3.0,10.0,190.0
7.0,3.0,1.0,7.0
6.0,4.0,7.0,0.8571428571428571
15.0,2.0,14.0,1.0
13.0,2.0,18.0,-5.0
17.0,2.0,2.0,15.0
18.0,3.0,5.0,90.0
1.0,2.0,9.0,-8.0
12.0,2.0,12.0,0.0
12.0,2.0,2.0,10.0
12.0,4.0,11.0,1.0909090909090908
18.0,3.0,20.0,360.0
5.0,1.0,5.0,10.0
17.0,3.0,2.0,34.0
15.0,3.0,4.0,60.0
9.0,1.0,10.0,19.0
17.0,1.0,10.0,27.0
2.0,3.0,4.0,8.0
19.0,4.0,18.0,1.0555555555555556
7.0,1.0,7.0,14.0
1.0,4.0,11.0,0.09090909090909091
13.0,4.0,9.0,1.4444444444444444
12.0,4.0,20.0,0.6
5.0,3.0,9.0,45.0
10.0,3.0,11.0,110.0
10.0,3.0,14.0,140.0
13.0,2.0,4.0,9.0
20.0,1.0,10.0,30.0
16.0,4.0,8.0,2.0
10.0,4.0,11.0,0.9090909090909091
18.0,3.0,4.0,72.0
17.0,1.0,3.0,20.0
3.0,3.0,8.0,24.0
17.0,1.0,3.0,20.0
6.0,1.0,5.0,11.0
1.0,4.0,9.0,0.1111111111111111
18.0,4.0,5.0,3.6
2.0,3.0,10.0,20.0
12.0,3.0,11.0,132.0
4.0,2.0,6.0,-2.0
1.0,2.0,16.0,-15.0
4.0,4.0,1.0,4.0
3.0,2.0,3.0,0.0
13.0,4.0,14.0,0.9285714285714286
14.0,2.0,11.0,3.0
4.0,2.0,2.0,2.0
1.0,2.0,9.0,-8.0
20.0,1.0,17.0,37.0
1.0,4.0,1.0,1.0
3.0,4.0,13.0,0.23076923076923078
2.0,4.0,15.0,0.13333333333333333
6.0,4.0,20.0,0.3
13.0,2.0,20.0,-7.0
19.0,1.0,17.0,36.0
19.0,4.0,16.0,1.1875
11.0,4.0,5.0,2.2
10.0,2.0,13.0,-3.0
13.0,1.0,6.0,19.0
9.0,3.0,18.0,162.0
1.0,3.0,7.0,7.0
17.0,1.0,6.0,23.0
7.0,3.0,14.0,98.0
11.0,3.0,15.0,165.0
13.0,3.0,12.0,156.0
19.0,1.0,14.0,33.0
17.0,2.0,16.0,1.0
12.0,3.0,10.0,120.0
8.0,2.0,16.0,-8.0
11.0,3.0,2.0,22.0
13.0,2.0,11.0,2.0
7.0,3.0,17.0,119.0
5.0,1.0,15.0,20.0
10.0,1.0,11.0,21.0
20.0,1.0,3.0,23.0
11.0,1.0,19.0,30.0
20.0,4.0,19.0,1.0526315789473684
2.0,4.0,18.0,0.1111111111111111
6.0,1.0,11.0,17.0
15.0,1.0,6.0,21.0
19.0,4.0,5.0,3.8
2.0,4.0,11.0,0.18181818181818182
20.0,2.0,19.0,1.0
19.0,4.0,5.0,3.8
14.0,1.0,18.0,32.0
8.0,4.0,20.0,0.4
8.0,3.0,13.0,104.0
18.0,2.0,18.0,0.0
14.0,1.0,9.0,23.0
15.0,2.0,11.0,4.0
6.0,1.0,6.0,12.0
19.0,2.0,18.0,1.0
16.0,2.0,20.0,-4.0
19.0,2.0,16.0,3.0
4.0,2.0,20.0,-16.0
1.0,4.0,14.0,0.07142857142857142
9.0,4.0,15.0,0.6
19.0,4.0,1.0,19.0
13.0,3.0,9.0,117.0
14.0,2.0,7.0,7.0
1.0,1.0,19.0,20.0
19.0,3.0,14.0,266.0
6.0,3.0,9.0,54.0
8.0,1.0,3.0,11.0
12.0,4.0,8.0,1.5
13.0,4.0,14.0,0.9285714285714286
14.0,4.0,7.0,2.0
12.0,4.0,4.0,3.0
5.0,4.0,15.0,0.3333333333333333
3.0,2.0,15.0,-12.0
10.0,1.0,12.0,22.0
18.0,3.0,15.0,270.0
13.0,3.0,19.0,247.0
5.0,3.0,9.0,45.0
19.0,2.0,1.0,18.0
11.0,4.0,3.0,3.6666666666666665
6.0,2.0,16.0,-10.0
16.0,1.0,3.0,19.0
4.0,4.0,11.0,0.36363636363636365
18.0,3.0,11.0,198.0
20.0,2.0,12.0,8.0
12.0,4.0,12.0,1.0
9.0,3.0,12.0,108.0
14.0,1.0,9.0,23.0
19.0,3.0,7.0,133.0
3.0,2.0,8.0,-5.0
18.0,1.0,6.0,24.0
7.0,4.0,11.0,0.6363636363636364
15.0,2.0,13.0,2.0
5.0,1.0,14.0,19.0
2.0,4.0,5.0,0.4
18.0,2.0,13.0,5.0
20.0,1.0,20.0,40.0
3.0,4.0,3.0,1.0
13.0,4.0,9.0,1.4444444444444444
8.0,1.0,2.0,10.0
8.0,1.0,10.0,18.0
17.0,3.0,20.0,340.0
12.0,4.0,16.0,0.75
16.0,2.0,16.0,0.0
9.0,1.0,5.0,14.0
19.0,4.0,17.0,1.1176470588235294
6.0,3.0,19.0,114.0
14.0,1.0,4.0,18.0
11.0,1.0,12.0,23.0
18.0,3.0,4.0,72.0
18.0,2.0,15.0,3.0
3.0,3.0,6.0,18.0
4.0,1.0,16.0,20.0
2.0,1.0,14.0,16.0
15.0,1.0,20.0,35.0
5.0,4.0,19.0,0.2631578947368421
2.0,1.0,18.0,20.0
13.0,2.0,18.0,-5.0
8.0,4.0,11.0,0.7272727272727273
13.0,1.0,14.0,27.0
11.0,4.0,8.0,1.375
10.0,1.0,20.0,30.0
18.0,2.0,1.0,17.0
20.0,3.0,8.0,160.0
4.0,3.0,10.0,40.0
1.0,1.0,6.0,7.0
1.0,2.0,12.0,-11.0
19.0,3.0,9.0,171.0
6.0,3.0,10.0,60.0
10.0,4.0,8.0,1.25
17.0,4.0,7.0,2.4285714285714284
13.0,3.0,10.0,130.0
19.0,3.0,2.0,38.0
8.0,3.0,19.0,152.0
20.0,2.0,15.0,5.0
10.0,2.0,11.0,-1.0
5.0,4.0,6.0,0.8333333333333334
2.0,2.0,3.0,-1.0
18.0,4.0,2.0,9.0
8.0,3.0,19.0,152.0
16.0,4.0,14.0,1.1428571428571428
20.0,2.0,5.0,15.0
4.0,3.0,13.0,52.0
18.0,3.0,16.0,288.0
12.0,2.0,3.0,9.0
12.0,3.0,20.0,240.0
9.0,3.0,13.0,117.0
10.0,2.0,5.0,5.0
8.0,4.0,13.0,0.6153846153846154
2.0,2.0,14.0,-12.0
6.0,4.0,5.0,1.2
10.0,2.0,12.0,-2.0
18.0,1.0,16.0,34.0
10.0,3.0,10.0,100.0
17.0,2.0,11.0,6.0
18.0,3.0,6.0,108.0
12.0,4.0,20.0,0.6
16.0,4.0,15.0,1.0666666666666667
20.0,3.0,9.0,180.0
11.0,2.0,12.0,-1.0
19.0,1.0,1.0,20.0
5.0,1.0,3.0,8.0
14.0,1.0,15.0,29.0
16.0,1.0,10.0,26.0
12.0,3.0,8.0,96.0
10.0,4.0,16.0,0.625
18.0,2.0,5.0,13.0
13.0,4.0,9.0,1.4444444444444444
2.0,1.0,12.0,14.0
16.0,1.0,2.0,18.0
19.0,3.0,14.0,266.0
12.0,4.0,2.0,6.0
12.0,4.0,2.0,6.0
4.0,2.0,1.0,3.0
20.0,4.0,3.0,6.666666666666667
7.0,2.0,3.0,4.0
8.0,3.0,11.0,88.0
12.0,1.0,8.0,20.0
4.0,4.0,19.0,0.21052631578947367
19.0,2.0,10.0,9.0
10.0,3.0,11.0,110.0
1.0,1.0,9.0,10.0
5.0,1.0,10.0,15.0
16.0,3.0,17.0,272.0
9.0,2.0,19.0,-10.0
11.0,3.0,17.0,187.0
11.0,1.0,13.0,24.0
20.0,3.0,5.0,100.0
5.0,3.0,7.0,35.0
6.0,3.0,18.0,108.0
5.0,1.0,3.0,8.0
16.0,3.0,14.0,224.0
20.0,3.0,15.0,300.0
9.0,1.0,8.0,17.0
17.0,3.0,18.0,306.0
13.0,2.0,16.0,-3.0
8.0,2.0,8.0,0.0
8.0,1.0,12.0,20.0
4.0,1.0,6.0,10.0
7.0,2.0,13.0,-6.0
11.0,2.0,4.0,7.0
5.0,2.0,15.0,-10.0
13.0,3.0,3.0,39.0
11.0,1.0,14.0,25.0
1.0,2.0,3.0,-2.0
16.0,1.0,3.0,19.0
5.0,1.0,7.0,12.0
10.0,3.0,5.0,50.0
16.0,3.0,8.0,128.0
1.0,4.0,1.0,1.0
6.0,4.0,5.0,1.2
6.0,1.0,17.0,23.0
15.0,3.0,7.0,105.0
17.0,3.0,14.0,238.0
17.0,3.0,7.0,119.0
4.0,1.0,2.0,6.0
11.0,2.0,19.0,-8.0
15.0,2.0,3.0,12.0
12.0,2.0,1.0,11.0
20.0,1.0,11.0,31.0
9.0,3.0,17.0,153.0
13.0,1.0,13.0,26.0
3.0,1.0,8.0,11.0
11.0,3.0,4.0,44.0
7.0,4.0,18.0,0.3888888888888889
13.0,3.0,16.0,208.0
15.0,2.0,3.0,12.0
5.0,1.0,1.0,6.0
16.0,4.0,16.0,1.0
20.0,1.0,15.0,35.0
1.0,2.0,20.0,-19.0
6.0,1.0,16.0,22.0
4.0,3.0,1.0,4.0
3.0,2.0,2.0,1.0
3.0,4.0,7.0,0.42857142857142855
14.0,2.0,15.0,-1.0
5.0,1.0,19.0,24.0
1.0,3.0,17.0,17.0
19.0,4.0,13.0,1.4615384615384615
14.0,4.0,8.0,1.75
10.0,1.0,6.0,16.0
